SERIAL_NUM,APP_REG_NUM,USED_TIME
0A2C100001,ACB12DEF,2026-04-09 06:27:14
0A2C100002,ACB13DEF,2026-04-09 06:34:04
0A2C100003,ACB14DEF,2026-04-09 06:38:34
0A2C100004,ACB15DEF,2026-04-09 06:39:55
0A2C100005,ACB16DEF,
0A2C100006,ACB17DEF,
0A2C100007,ACB18DEF,
0A2C100008,ACB19DEF,
0A2C100009,ACB20DEF,
0A2C100010,ACB21DEF,
0A2C100011,ACB22DEF,
